timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1579407630937,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-10,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630938,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-10,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630939,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-10,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630941,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-10,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631030,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631032,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631033,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631034,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631035,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631036,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407631038,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407631039,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-11,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
